,artist,title,year,†artist,*artist
N03517,Sir Hubert Von Herkomer,Sir Henry Tate,1870,1914,1849
N02212,Alfred Stevens,An Artist in his Studio,1840,1875,1817
T01047,Sir William Nicholson,The Hill above Harlech,1900,1949,1872
T02057,John Hamilton Mortimer,"Sir Arthegal, the Knight of Justice, with Talus, the Iron Man (from Spenser’s ‘Faerie Queene’)",1750,1779,1740
T00011,Robert Braithwaite Martineau,Kit’s Writing Lesson,1840,1869,1826
T01137,Howard Hodgkin,Dinner at West Hill,1960,2017,1932
N01402,Henry Robert Morland,A Lady’s Maid Soaping Linen,1740,1797,1716
N00922,Sir Thomas Lawrence,Lady Georgiana Fane,1790,1830,1769
N01530,Andrew Carrick Gow,A Lost Cause: Flight of King James II after the Battle of the Boyne,1870,1920,1848
N05831,Harold Gilman,Lady on a Sofa,1890,1919,1876
T03458,Gillian Ayres OBE,Antony and Cleopatra,1960,2018,1930
N05861,Victor Askew,"The Studio, St John’s Wood",1930,1974,1909
N05019,Annie Louisa Swynnerton,Miss Elizabeth Williamson on a Pony,1870,1933,1844
N04545,Annie Louisa Swynnerton,"Dame Millicent Fawcett, G.B.E., LL.D.",1870,1933,1844
T05762,Sir Stanley Spencer,"Farm Pond, Leonard Stanley",1910,1959,1891
N03865,Lucien Pissarro,"Almond Trees, Le Lavandou",1890,1944,1863
N05876,Albert Moore,The Toilette,1860,1893,1841
T03234,George Robert Lewis,"Harvest Field with Gleaners, Haywood, Herefordshire",1810,1871,1782
N05171,Duncan Grant,Girl at the Piano,1920,1978,1885
N04845,Manner of Thomas Gainsborough,Mrs Sarah Walker,1750,1788,1727
N06005,Johan Zoffany,Charles Macklin as Shylock,1760,1810,1733
T00139,Carel Weight,Miss Orovida Pissarro,1940,1997,1908
T01474,Friedrich Vordemberge-Gildewart,Composition No. 15,1920,1962,1899
N05401,Sir Matthew Smith,Still Life,1910,1959,1879
T02101,Sir Matthew Smith,"Still Life with Clay Figure, I",1910,1959,1879
T07105,John Singer Sargent,Portrait of Robert Mathias,1880,1925,1856
T00551,Amédée Ozenfant,Glasses and Bottles,1910,1966,1886
T03649,William Evelyn Osborn,"Beach at Dusk, St Ives Harbour",1880,1906,1868
N05572,"Sir John Everett Millais, Bt",Mrs Bischoffsheim,1850,1896,1829
T00767,Michel Larionov,Soldier on a Horse,1910,1964,1881
T14513,Augustus John OM,A Jamaican Girl,1910,1961,1878
N04593,Herbert Gurschner,The Annunciation,1930,1975,1901
N05100,Spencer Gore,Richmond Park,1890,1914,1878
T05561,John Glover,Thirlmere,1790,1849,1767
T13032,Meredith Frampton,Sir Clive Forster-Cooper,1920,1984,1894
N00689,John Crome,"Mousehold Heath, Norwich",1790,1821,1768
N01246,John Constable,"The Grove, Hampstead",1800,1837,1776
N01919,Henry Tanworth Wells,Victoria Regina,1850,1903,1828
T03875,Joseph Mallord William Turner,The Forest of Bere,1800,1851,1775
N02728,John Thomas Smith,"Portrait of J.M.W. Turner, R.A.",1790,1833,1766
N01322,William Bell Scott,The Eve of the Deluge,1840,1890,1811
T12273,Mira Schendel,Untitled,1940,1988,1919
T03248,William Roberts,Trooping the Colour,1920,1980,1895
N00106,Sir Joshua Reynolds,A Man’s Head,1750,1792,1723
T07344,Richard Patterson,Painted Minotaur,1960,1963,1963
T02113,Roderic O’Conor,Yellow Landscape,1890,1940,1860
T01884,Arthur Devis,A Lady in Blue,1740,1787,1711
N04486,Sir George Clausen,Gleaners Coming Home,1880,1944,1852
T01873,Richard Wilson,Rome: St Peter’s and the Vatican from the Janiculum,1740,1782,1713
T01063,Carel Weight,The Friends,1940,1997,1908
T04849,Marie-Louise Von Motesiczky,"View from the Window, Vienna",1940,1996,1906
T13565,Bruce Turner,Pavlova,1920,1963,1894
N06244,Sir Joshua Reynolds,Lord and Lady Ashburton,1750,1792,1723
N04747,Lucien Pissarro,"April, Epping",1890,1944,1863
N04956,Sir Alfred Munnings,Their Majesties’ Return from Ascot,1900,1959,1878
N05276,Charles Ginner,"Flask Walk, Hampstead, on Coronation Day",1900,1952,1878
TW0030,Joseph Mallord William Turner,The Sun Rising through Vapour,1800,1851,1775
TW0580,Joseph Mallord William Turner,"‘Now for the Painter’, (Rope.) Passengers Going on Board (‘Pas de Calais’)",1800,1851,1775
T00158,John Singer Sargent,Mrs Philip Leslie Agnew,1880,1925,1856
N04466,John Singer Sargent,Lady Fishing - Mrs Ormond,1880,1925,1856
T07033,Victor Pasmore,The Gardens of Hammersmith No. 2,1940,1998,1908
T03931,Rodrigo Moynihan,The Shelf: Objects and Shadows - Front View,1940,1990,1910
N01663,William Hogarth,Mrs Salter,1720,1764,1697
L02458,Peter de Francia,The Bombing of Sakiet,1950,2012,1921
T03704,Sir William Coldstream,Seated Nude,1930,1987,1908
T00693,Jack Butler Yeats,Morning after Rain,1900,1957,1871
N04669,Dame Ethel Walker,Miss Jean Werner Laurie,1890,1951,1861
N00554,Joseph Mallord William Turner,The Departure of the Fleet,1800,1851,1775
TW0160,Joseph Mallord William Turner,Modern Rome - Campo Vaccino,1800,1851,1775
N00546,Joseph Mallord William Turner,‘Hurrah! for the Whaler Erebus! Another Fish!’,1800,1851,1775
AR00028,Gerhard Richter,Abstract Painting (Skin) (887-3),1930,1932,1932
N05079,Frederick J. Porter,Winter Landscape,1900,1944,1883
N05337,John A. Park,Snow Falls on Exmoor,1910,1962,1880
N05037,John Nash,"The Moat, Grange Farm, Kimble",1920,1977,1893
T00922,Philip Mercier,A Music Party,1710,1760,1689
T00073,André Masson,The Red Lands and the Montagne Sainte Victoire,1930,1987,1896
T14776,Victor Man,Untitled (Connaissez-vous des Esseintes?),1970,1974,1974
N01935,William Hogarth,"James Quin, Actor",1720,1764,1697
T01859,Spencer Gore,"The Beanfield, Letchworth",1890,1914,1878
T01478,Cecil Collins,The Cells of Night,1930,1989,1908
N06267,Attributed to Richard Wilson,"Lake, Ruin and Pine Trees",1740,1782,1713
N00555,Joseph Mallord William Turner,The Visit to the Tomb,1800,1851,1775
N03182,Walter Richard Sickert,"Café des Tribunaux, Dieppe",1890,1942,1860
T00152,Victor Pasmore,Nude,1940,1998,1908
N05935,Juan Gris,Violin and Fruit-Dish,1900,1927,1887
N04237,John Constable,"Branch Hill Pond, Hampstead Heath, with a Cart and Carters",1800,1837,1776
N03814,Joanna Mary Wells,Gretchen,1840,1861,1831
N02065,Joseph Mallord William Turner,"A Ship Aground, Yarmouth; Sample Study",1800,1851,1775
N05092,Walter Richard Sickert,Tipperary,1890,1942,1860
T00124,John Singer Sargent,The Mountains of Moab,1880,1925,1856
N05253,Victor Pasmore,Lamplight,1940,1998,1908
N05331,John Nash,A Suffolk Landscape,1920,1977,1893
T06970,"Sir Cedric Morris, Bt",Experiment in Textures,1920,1982,1889
N02639,George Morland,Outside the Ale-House Door,1780,1804,1763
T07697,Paul Maze,Whitehall in Winter,1920,1979,1887
N03643,Walter Greaves,Hammersmith Bridge on Boat-race Day,1870,1930,1846
L02926,Sir Joshua Reynolds,Miss Crewe,1750,1792,1723
N06158,John Hamilton Mortimer,"George Thompson, his Wife and (?) his Sister-in-Law",1750,1779,1740
N01016,Sir Peter Lely,Girl with a Parrot,1640,1680,1618
N05864,Joseph Highmore,Mr Oldham and his Guests,1720,1780,1692
T06660,Benjamin Ferrers,Three Ladies of the Leman Family and their Dogs on a Terrace,1710,1732,1695
T03368,André Derain,Madame Derain in a White Shawl,1900,1954,1880
N04784,André Derain,Landscape near Barbizon,1900,1954,1880
N01823,John Constable,The Glebe Farm,1800,1837,1776
N00759,Edward Armitage,The Remorse of Judas,1840,1896,1817
T00788,Edward Williams,A Village Forge: Moonlight,1810,1855,1782
T06694,Aubrey Williams,Shostakovitch 3rd Symphony Opus 20,1950,1990,1926
N01894,George Frederic Watts and assistants,The Court of Death,1850,1904,1817
T03869,Joseph Mallord William Turner,Narcissus and Echo,1800,1851,1775
T12741,William Roberts,The Art Gallery,1920,1980,1895
T06522,"Sir Cedric Morris, Bt",The Eggs,1920,1982,1889
N04536,"Sir John Everett Millais, Bt",Miss Anne Ryan,1850,1896,1829
T05723,Brice Marden,Couplet III,1940,1938,1938
N05218,Augustus John OM,W.B. Yeats,1910,1961,1878
T01336,Gerardo Dottori,Explosion of Red on Green,1910,1977,1884
AR00032,Georg Baselitz,"Where is the Yellow Milkjug, Mrs Bird?",1940,1938,1938
N01585,George Frederic Watts,Psyche,1850,1904,1817
N02425,Joseph Mallord William Turner,"A Wreck, with Fishing Boats",1800,1851,1775
N04942,Sir Stanley Spencer,"Rickett’s Farm, Cookham Dene",1910,1959,1891
T05494,Allan Ramsay,"Thomas, 2nd Baron Mansel of Margam with his Blackwood Half-Brothers and Sister",1740,1784,1713
N05172,James Pryde,The Doctor,1890,1941,1866
N05630,Henry Lamb,Death of a Peasant,1910,1960,1883
T13897,Uzo Egonu,Woman in Grief,1950,1996,1931
T03880,Joseph Mallord William Turner,"Petworth, Sussex, the Seat of the Earl of Egremont: Dewy Morning",1800,1851,1775
N05738,Graham Sutherland OM,Feeding a Steel Furnace,1930,1980,1903
N03036,William Strang,Bank Holiday,1880,1921,1859
N05144,Alfred Sisley,The Path to the Old Ferry at By,1860,1899,1839
T11915,Wilhelm Sasnal,Untitled (a),1970,1972,1972
T13845,Per Kirkeby,Composition,1960,2018,1938
N05978,Frances Hodgkins,Flatford Mill,1890,1947,1869
T12221,Francis Hayman,"Samuel Richardson, the Novelist (1684-1761), Seated, Surrounded by his Second Family",1730,1776,1708
N05883,Sir William Coldstream,Inez Spender,1930,1987,1908
T00004,Bernard Buffet,Portrait of the Artist,1950,1999,1928
T11900,Richard Parkes Bonington,French Coast with Fishermen,1810,1828,1802
N04874,Richard Wilson,"The Thames near Marble Hill, Twickenham",1740,1782,1713
T00516,John Piper,The Forum,1930,1992,1903
N03628,Sir William Orpen,Sir William McCormick,1900,1931,1878
T07128,Lisa Milroy,Finsbury Square,1960,1959,1959
T03448,William Charles Thomas Dobson,The Child Jesus Going Down with His Parents to Nazareth,1840,1898,1817
T00372,Jankel Adler,The Mutilated,1910,1949,1895
TW0511,Joseph Mallord William Turner,A Coast Scene with Fishermen Hauling a Boat Ashore (‘The Iveagh Seapiece’),1800,1851,1775
T14190,Ernest Mancoba,Untitled,1940,2002,1904
N00403,Charles Robert Leslie,A Scene from Tristram Shandy (‘Uncle Toby and the Widow Wadman’),1820,1859,1794
T07555,"George Lambert, Francis Hayman","View of Copped Hall in Essex, from the Park",1730,1765,1708
T00561,R.B. Kitaj,Isaac Babel Riding with Budyonny,1960,2007,1932
T02216,Ivon Hitchens,"Divided Oak Tree, No. 2",1920,1979,1893
T07946,Dan Hays,"Colorado Impression 11b (after Dan Hays, Colorado)",1970,1966,1966
N05765,Duncan Grant,James Strachey,1920,1978,1885
T00804,Piero Dorazio,Very Sharp,1950,2005,1927
N04264,Philip Wilson Steer,Sleep,1890,1942,1860
T00855,Richard Smith,Vista,1960,2016,1931
N01667,George Romney,Mrs Johnstone and her Son (?),1760,1802,1734
N03549,Sir William Orpen,Lady Orpen,1900,1931,1878
N05254,Paul Nash,Grotto in the Snow,1910,1946,1889
N00391,George Jones,Battle of Borodino,1810,1869,1786
T11788,Clive Branson,Selling the ‘Daily Worker’ outside Projectile Engineering Works,1920,1944,1907
T13803,Jack Whitten,Epsilon Group II,1970,2018,1939
N05265,Benjamin West,Lady Beauchamp-Proctor,1770,1820,1738
T14838,Cecilia Vicuña,Violeta Parra,1950,1948,1948
T04162,Gilbert Soest,"Portrait of a Gentleman with a Dog, Probably Sir Thomas Tipping",1630,1681,1605
A00837,Sir Joshua Reynolds,The Holy Family with the Infant St John,1750,1792,1723
N01581,Walter Hunt,The Dog in the Manger,1890,1941,1861
T03371,John Hubbard,Light Structure,1960,2017,1931
T14386,Theodor von Holst,The Bride,1820,1844,1810
N04221,Charles Conder,Springtime,1880,1909,1868
T11787,Clive Branson,Portrait of a Worker,1920,1944,1907
N01643,George Frederic Watts,Eve Tempted,1850,1904,1817
T02004,Richard Smith,Gift Wrap,1960,2016,1931
T06601,Walter Richard Sickert,Variation on Peggy,1890,1942,1860
T06447,Walter Richard Sickert,"Girl at a Window, Little Rachel",1890,1942,1860
N00313,Samuel Scott,A View of London Bridge before the Late Alterations,1730,1772,1702
N01568,George Mason,Wind on the Wold,1840,1872,1818
T02141,R.B. Kitaj,The Orientalist,1960,2007,1932
N04151,Arthur Boyd Houghton,Mother and Children Reading,1850,1875,1836
T00392,Patrick Heron,Green and Purple Painting with Blue Disc : May 1960,1950,1999,1920
N00614,William Etty,"Musidora: The Bather ‘At the Doubtful Breeze Alarmed’, replica",1810,1849,1787
N02654,John Constable,Dedham from Langham,1800,1837,1776
N00813,Sir Augustus Wall Callcott,Sheerness and the Isle of Sheppey (after J.M.W. Turner),1800,1844,1779
T00318,David Bomberg,Lilian,1910,1957,1890
T02395,Max Beckmann,Prunier,1910,1950,1884
T03884,Joseph Mallord William Turner,"The Lake, Petworth: Sunset, a Stag Drinking",1800,1851,1775
N05784,Daniel Turner,"Old London Bridge (after Samuel Scott, N00313)",1790,1801,1782
N06200,Sir James Thornhill,"The Apotheosis of Romulus: Sketch for a Ceiling Decoration, Possibly for Hewell Grange, Worcestershire",630,1734,76
N00229,Gilbert Stuart,"Benjamin West, P.R.A.",1780,1828,1755
T14281,Sylvia Sleigh,Paul Rosano Reclining,1950,2010,1916
N04259,Paul Nash,Behind the Inn,1910,1946,1889
N01564,"Sir John Everett Millais, Bt",A Disciple,1850,1896,1829
T00885,Sir Peter Lely,Man Playing a Pipe,1640,1680,1618
T00769,Peter Greenham,Jane,1940,1992,1909
T14504,Adrian Ghenie,The Black Flag,1980,1977,1977
N04777,Thomas Gainsborough,"John Needham, 10th Viscount Kilmorey",1750,1788,1727
T00727,Thomas Gainsborough,Edward Richard Gardiner,1750,1788,1727
T01729,Robyn Denny,Home from Home,1960,2014,1930
N02761,Samuel Butler,Mr Heatherley’s Holiday: An Incident in Studio Life,1860,1902,1835
N00537,Joseph Mallord William Turner,Van Tromp Returning after the Battle off the Dogger Bank,1800,1851,1775
T01199,Richard Smith,Panatella,1960,2016,1931
T07808,Ethel Sands,Tea with Sickert,1900,1962,1873
T07740,William Roberts,Deposition from the Cross,1920,1980,1895
T05834,Mary Potter,"The Window, Chiswick",1930,1981,1900
N05432,Oskar Kokoschka,Ambassador Ivan Maisky,1920,1980,1886
N05929,Augustus John OM,Matthew Smith,1910,1961,1878
T00173,Roger Hilton,January 1957,1930,1975,1911
T07132,Philip Guston,Hat,1940,1980,1913
N01899,Matthew Ridley Corbet,Val d’Arno: Evening,1870,1902,1850
T12820,Nigel Cooke,New Accursed Art Club,1970,1973,1973
N01969,Henriette Browne,A Greek Captive,1850,1901,1829
T15046,John James Baker,The Whig Junto,1720,1725,1725
T03447,Edward Arthur Walton,Berwickshire Field-workers,1880,1922,1860
N03135,Alphonse Legros,Rehearsing the Service,1860,1911,1837
N03274,Alphonse Legros,Cupid and Psyche,1860,1911,1837
N00612,Charles Landseer,The Plundering of Basing House,1830,1879,1799
N06222,Sir Godfrey Kneller,Elijah and the Angel,1670,1723,1646
T07298,R.B. Kitaj,My Cities (An Experimental Drama),1960,2007,1932
N03565,Augustus John OM,Rachel,1910,1961,1878
N01535,Frank Holl,Hush!,1860,1888,1845
N01487,Johan Zoffany,Thomas Gainsborough,1760,1810,1733
T02217,Johan Zoffany,Mrs Woodhull,1760,1810,1733
T00136,Nicolas de Stael,Marathon,1930,1955,1914
N01519,Sir William Quiller Orchardson,Her First Dance,1860,1910,1832
N01453,Balthazar Nebot,Covent Garden Market,1740,1765,1730
N00415,Sir Edwin Henry Landseer,A Dialogue at Waterloo,1830,1873,1802
T05019,Sir Godfrey Kneller,Portrait of John Banckes,1670,1723,1646
T07401,Hans Hartung,T1982-E15,1930,1989,1904
T03438,Thomas Weaver,"Thomas Morris’s Sheep Show at Barton-on-Humber, Lincolnshire",620,1843,5
N01989,Joseph Mallord William Turner,Rocky Bay with Figures,1800,1851,1775
N03467,Alfred Stevens,Mrs Elizabeth Young Mitchell and her Baby,1840,1875,1817
N05375,Philip Wilson Steer,The Swiss Alps at the Earl’s Court Exhibition,1890,1942,1860
N05148,Sir Stanley Spencer,Daphne,1910,1959,1891
T07730,Charles Spencelayh,"War or No War, Who Cares?",1900,1958,1865
T03360,Walter Richard Sickert,Miss Earhart’s Arrival,1890,1942,1860
N01515,Briton Riviere,The Miracle of the Gaderene Swine,1870,1920,1840
T00522,Larry Rivers,Parts of the Face: French Vocabulary Lesson,1950,2002,1923
T03464,Mabel Nicholson,The Harlequin,1890,1918,1871
N01941,"Sir John Everett Millais, Bt","Sir Henry Thompson, Bt",1850,1896,1829
N04540,John Henry Lorimer,"Sir Robert Lorimer, A.R.A., as a Boy",1880,1936,1856
T03223,John Lessore,Annonciade,1940,1939,1939
T04944,Joseph Highmore,Equestrian Portrait of King George II,1720,1780,1692
T13024,Harold Gilman,Madeleine Knox,1890,1919,1876
T03282,Anthony Fry,Nude X,1960,2017,1927
N00898,Sir Charles Lock Eastlake,Lord Byron’s ‘Dream’,1820,1865,1793
T04166,David Bomberg,Nude,1910,1957,1890
N04474,Margaret Barker,Any Morning,1940,2003,1907
T13342,Aubrey Williams,Tribal Mark II,1950,1990,1926
N00332,Sir David Wilkie,"The Peep-o’-Day Boys’ Cabin, in the West of Ireland",1800,1841,1785
N05143,Maurice Utrillo,Le Passage Cottin,1910,1955,1883
N00522,Joseph Mallord William Turner,Phryne Going to the Public Baths as Venus: Demosthenes Taunted by Aeschines,1800,1851,1775
N05914,Walter Richard Sickert,"St Mark’s, Venice (Pax Tibi Marce Evangelista Meus)",1890,1942,1860
N05843,Manner of Sir Joshua Reynolds,A Young Black Man (?Francis Barber),1750,1792,1723
T02247,John Nash,A Path through Trees,1920,1977,1893
N03687,Antonio Mancini,Portrait of the Artist’s Father,1880,1930,1852
N02060,John Linnell,"Harvest Home, Sunset: The Last Load",1820,1882,1792
T07562,Arthur Lemon,The Wooing of Daphnis,1870,1912,1850
N04443,Duncan Grant,South of France,1920,1978,1885
T00101,Roger Fry,Still Life: Flowers,1890,1934,1866
N04846,James Ensor,Effect of Light,1890,1949,1860
N03390,Edgar Degas,Head of a Woman,1860,1917,1834
N06133,David Bomberg,Flowers,1910,1957,1890
T14236,Frank Auerbach,Mornington Crescent - Summer Morning,1930,1931,1931
T02207,Samuel Woodforde,The Bennett Family,1780,1817,1763
T03228,Edward Wolfe,P.C. 77,1930,1982,1897
T06461,Jack Smith,Objects in Light and Shadow,1960,2011,1928
N01223,Samuel Scott,An Arch of Old Westminster Bridge,1730,1772,1702
T04913,Susan Rothenberg,Vertical Spin,1940,1945,1945
T02391,Gordon Onslow-Ford,A Present for the Past,1940,2003,1912
N04652,Erskine Nicol,Donnybrook Fair,1850,1904,1825
T00162,John Minton,Street and Railway Bridge,1930,1957,1917
T03964,Jacob Kramer,George Parker,1920,1962,1892
T00138,Augustus John OM,Edward Grove,1910,1961,1878
N00309,Thomas Gainsborough,Boy Driving Cows near a Pool,1750,1788,1727
T01452,Philip James De Loutherbourg,The Battle of the Nile,1760,1812,1740
T06499,Michael Dahl,Portrait of Mrs Haire,1690,1743,1659
N02071,Frank Craig,The Heretic,1890,1918,1874
T03251,Francis Cotes,"Anna Maria Astley, Aged Seven, and her Brother Edward, Aged Five and a Half",1740,1770,1726
T03551,Francesco Clemente,Midnight Sun II,1950,1952,1952
T05773,Lady Edna Clarke Hall,Still Life of a Basket on a Chair,1910,1979,1879
T12021,Clive Branson,Still Life,1920,1944,1907
T07991,Bryan Wynter,Riverbed,1930,1975,1915
T13341,Aubrey Williams,Death and the Conquistador,1950,1990,1926
N03830,Antoine Villard,Circuit Railway at Grenelle,1890,1934,1867
N00889,Sir Joshua Reynolds,Self-Portrait when Young,1750,1792,1723
N02787,Julius Olsson,Moonlit Shore,1890,1942,1864
N01926,Sir David Murray,In the Country of Constable,1880,1933,1849
T05499,"Sir Cedric Morris, Bt",Belle of Bloomsbury,1920,1982,1889
T00511,Ellsworth Kelly,Broadway,1950,2015,1923
N06239,Stanislawa De Karlowska,Swiss Cottage,1900,1952,1876
T13440,Adam de Colone,"Portrait of Lady Margaret Livingstone, 2nd Countess of Wigtown",1600,1651,1572
T07477,Sir Hubert Von Herkomer,Portrait of Lady Tate,1870,1914,1849
T07413,Luc Tuymans,Illegitimate I,1960,1958,1958
